ID, RT,mass,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
1,11.0236,495.3335,174113.3948,192300.8997,176227.2029,157656.978,151880.0756,93967.78305,183756.9973,215562.588,166159.1486,187425.1786,202052.7544,166289.9339,170370.9035,171698.5413,148329.0152,165068.7359,174281.5683,164393.1051,178638.8259,170170.3827,180370.2675,167563.7432,158168.6862,182953.1418,149631.9612,163957.1043,159289.3145,194157.867,177072.9785,172278.5554,131554.1077,199772.983,221110.242,212432.3481,204220.6028,182812.7781,197608.4015,187143.0734,203848.0851,194962.6252,229874.9009,166191.5768,202902.3968,196095.2525,195348.2924,205471.4175,221141.6578,190529.774,201240.7099,210468.7905,205219.8465,209328.0025,186615.2194,189488.9759,217475.9587,222975.9054,189894.2205,249658.447,213101.5366,201603.2272,190856.4916,193872.6304
2,12.17166667,523.3647,59496.80192,61682.67934,61329.19398,49634.18961,45083.80619,7.13E-06,55905.06695,69406.29152,55059.36801,56686.87937,54716.55887,47005.61854,55105.93657,57057.26645,44304.46182,46602.24385,56090.92815,44338.91795,50965.92205,44269.86268,52231.53474,48952.8937,45702.06161,53569.77894,49603.31605,57964.10728,46943.7714,63981.03507,63789.72565,52766.62735,46121.488,63891.74787,63849.10781,58682.71941,70670.62699,57796.48492,58792.13933,59705.30422,55663.07622,56409.36636,58528.68959,53831.53297,52294.26713,53967.28735,57347.84842,66249.65462,58969.17421,58240.20286,63751.88745,55052.01415,62058.17057,67657.53171,55583.08077,63666.18962,54663.11719,60633.3801,56740.89451,64443.70726,62824.73031,55841.53669,58496.66742,58107.70365
3,10.65201667,519.3334,55428.10237,62602.26658,71174.16843,9.20E-06,40696.89755,7.13E-06,50804.37529,61913.97103,35159.65297,57777.32477,65269.43936,48598.56593,50064.05298,62147.72763,38596.54265,73333.00337,34813.70384,49463.56067,58532.39359,40465.63764,7.48E-06,49771.76432,59422.85252,59776.96083,54329.20087,81337.15354,73604.50374,46502.60329,59807.43998,55793.11551,51994.79949,41043.02543,51365.76054,65901.54124,51766.06453,44890.1957,47823.5621,72325.02206,47861.65777,56070.80727,57104.73029,54996.35727,41197.63417,60555.26231,45864.77221,41498.45868,40796.97416,66461.8021,64727.23611,46808.11295,52346.39103,77722.21867,49105.62329,60771.20223,74887.00572,37822.36945,82713.84828,66066.63263,38033.19591,37429.32821,47719.07451,51979.48606
4,11.34026667,521.349,36910.40324,42136.00645,32666.94598,30993.78918,26220.49986,115.9012609,30448.43596,44946.41104,28784.2433,40828.78199,43805.66214,31452.6154,28716.56962,45881.48575,20676.24059,38579.00412,26553.5522,27999.48077,27524.25314,29529.82437,26332.82219,23784.26263,39565.63525,37021.06684,31152.69993,39901.34868,39947.9189,36836.81178,34319.50172,30445.34463,31817.58503,25616.9961,36828.56135,52932.03068,48073.93542,32195.43459,38338.95859,42334.43257,30235.71858,38228.76949,41083.10296,38015.27756,36013.58666,36569.00849,38946.49396,32250.88486,33341.96965,43322.87681,44233.24055,43073.30196,41593.95044,37177.33166,25768.30415,51224.80092,36672.70038,41331.91207,35778.60617,40155.89635,29841.08909,32360.91793,38635.75991,34868.93251
5,1.581683333,131.0944,19359.13554,6.54E-06,69497.20479,54136.153,90940.141,22179.30372,48259.83927,79616.86063,68352.55861,44835.56718,44656.49112,76862.803,82980.90308,38826.5387,65551.27283,6.32E-06,6.71E-06,45266.47019,17643.87925,64783.63243,7.48E-06,7.03E-06,15536.48496,18668.14075,39812.37817,50577.74057,35359.6605,6.99E-06,70458.48955,7.54E-06,44897.64029,36224.86188,34982.40567,14936.07252,25927.39604,35930.19141,32686.59771,5.79E-06,44343.01255,15766.07785,6.30E-06,29564.2131,34724.79263,11959.62639,32867.03064,8518.744263,28198.72059,7103.99618,27488.4745,31933.46873,26370.35409,5.47E-06,30432.39214,29800.62159,33624.44016,29812.73539,40349.92133,6.14E-06,32384.40063,70719.07417,9819.783335,32795.11285
6,4.4008,199.04,34996.25573,32547.45543,32670.73988,46143.97457,33206.80062,35318.20848,27432.42249,30659.12491,29137.42669,34559.90131,29690.03252,30746.43348,34706.3924,30614.7344,28343.31733,30677.58907,32251.42094,32880.72339,33989.46348,29406.73609,36467.84664,34875.23776,30242.34205,31091.12056,35373.22196,37210.39035,41888.67233,34199.82553,31245.02889,37151.52066,32319.99989,26265.54445,24934.19276,27509.67053,29442.70021,29844.48676,25420.80148,29183.946,27106.64723,31883.60997,31854.14575,27931.23803,27494.3714,27603.83336,28208.51923,30674.83694,27908.32999,30848.71337,29022.27498,28137.29598,28716.11101,27436.04112,29517.35705,28250.12463,26506.62669,30004.54405,30851.77543,31424.55795,28231.08069,32416.94707,32721.9902,29473.26622
7,3.270283333,165.0787,6.85E-06,44654.68011,38198.92904,46172.84381,44000.15708,62064.66122,31950.5499,6.25E-06,6.03E-06,32985.78343,26483.26106,45588.35003,35820.42348,24622.63541,41525.79631,6.32E-06,50167.21707,34766.65876,29599.91594,30217.78556,44618.30602,33072.13246,34998.38182,33866.92177,27727.17307,7.57E-06,33537.63117,33314.73888,6.43E-06,44779.47801,34684.70073,33350.33037,30808.9004,29721.61876,5.75E-06,40353.10203,27895.35336,35470.38869,32514.62098,6.21E-06,38859.17882,26647.37652,36048.31499,24664.77542,5.66E-06,27030.89701,22712.31685,25005.39263,20884.67404,21988.762,23988.71822,30391.2322,25895.24772,5.60E-06,26500.82562,29358.37924,33575.22875,6.14E-06,29284.75773,32069.89383,26529.74219,32795.11285
8,10.81313333,495.3333,29638.82563,32470.22117,28844.57155,23074.68788,22609.20331,13493.89644,30618.72086,6.25E-06,6.03E-06,7.18E-06,6.00E-06,23974.69182,7.01E-06,6.23E-06,22415.69962,6.32E-06,28976.77575,6.78E-06,7.04E-06,6.06E-06,7.48E-06,7.03E-06,6.15E-06,6.34E-06,22156.78827,7.57E-06,23261.71432,31081.64399,17798.70484,7.54E-06,6.72E-06,35738.83025,43325.73298,5.39E-06,35854.49456,31431.95174,36524.55387,5.79E-06,36892.51666,34259.31616,6.30E-06,28284.37941,36613.4421,34529.42216,34714.43629,36868.1556,40954.86761,32714.70314,35293.98187,37436.6682,37885.57307,37952.22528,32394.40447,28367.53151,5.21E-06,33248.61607,31768.96298,6.14E-06,38113.18483,33602.93057,31118.67612,33407.73957
9,8.976016667,248.1991,6.85E-06,34084.76295,33756.39326,9.20E-06,6.79E-06,34459.87129,25742.40013,6.25E-06,6.03E-06,33149.49878,27504.95297,13459.50022,7.01E-06,6.23E-06,27697.82782,6.32E-06,17415.26563,6.78E-06,14909.24674,25134.8092,341.444723,32560.44336,27415.52778,14515.65944,34638.51938,34075.31785,8.35E-06,6.99E-06,581.6536062,18863.01666,6.72E-06,21918.41534,9589.134705,23129.05794,5.75E-06,6.18E-06,17336.02529,22462.04724,19688.91993,24614.60402,27192.77449,19012.52697,5.59E-06,11527.47419,5.66E-06,6.23E-06,22278.05419,12894.09471,5.76E-06,24316.80154,11743.4935,24037.00059,11731.55042,11395.21037,5.21E-06,26923.79564,6.09E-06,14500.39949,12673.13344,6.36E-06,6.52E-06,22654.51515
10,1.230216667,136.0383,20865.1702,17731.55825,23273.27028,25833.03667,33124.18316,32319.33189,16453.523,19419.07777,6.03E-06,3572.800926,2525.24215,33671.03294,16371.36707,10346.8521,21179.00505,2224.230525,23450.79796,20221.90585,4926.053443,14434.39068,24906.59922,14730.4637,11137.57518,18060.76471,4929.039502,9001.625033,10731.36053,3454.752059,19968.44673,7.54E-06,4116.773676,13199.41492,12085.52666,13484.17222,15591.09938,17273.81993,12204.22454,19218.12975,15679.85566,19698.42726,6.30E-06,10357.21972,14680.88162,16606.24495,10447.24029,10355.35498,9444.093417,10741.34344,11078.8408,1799.686865,7512.761864,15104.59891,16588.35595,18460.51656,15779.45646,1316.934515,18968.31797,12326.41122,14124.88739,11890.59543,14454.63699,12937.07261
